Jurisdiction of Occurrence,StateAbbreviation,Region,Division,RegionColor,DivisionColor
Illinois,IL,Midwest,East North Central,1,1
Indiana,IN,Midwest,East North Central,1,1
Michigan,MI,Midwest,East North Central,1,1
Ohio,OH,Midwest,East North Central,1,1
Wisconsin,WI,Midwest,East North Central,1,1
Alabama,AL,South,East South Central,3,1
Kentucky,KY,South,East South Central,3,1
Mississippi,MS,South,East South Central,3,1
Tennessee,TN,South,East South Central,3,1
New Jersey,NJ,Northeast,Middle Atlantic,2,2
New York,NY,Northeast,Middle Atlantic,2,2
Pennsylvania,PA,Northeast,Middle Atlantic,2,2
Arizona,AZ,West,Mountain,4,3
Colorado,CO,West,Mountain,4,3
Idaho,ID,West,Mountain,4,3
Montana,MT,West,Mountain,4,3
New Mexico,NM,West,Mountain,4,3
Nevada,NV,West,Mountain,4,3
Utah,UT,West,Mountain,4,3
Wyoming,WY,West,Mountain,4,3
Connecticut,CT,Northeast,New England,2,4
Massachusetts,MA,Northeast,New England,2,4
Maine,ME,Northeast,New England,2,4
New Hampshire,NH,Northeast,New England,2,4
Rhode Island,RI,Northeast,New England,2,4
Vermont,VT,Northeast,New England,2,4
Alaska,AK,West,Pacific,4,5
California,CA,West,Pacific,4,5
Hawaii,HI,West,Pacific,4,5
Oregon,OR,West,Pacific,4,5
Washington,WA,West,Pacific,4,5
District of Columbia,DC,South,South Atlantic,3,6
Delaware,DE,South,South Atlantic,3,6
Florida,FL,South,South Atlantic,3,6
Georgia,GA,South,South Atlantic,3,6
Maryland,MD,South,South Atlantic,3,6
North Carolina,NC,South,South Atlantic,3,6
South Carolina,SC,South,South Atlantic,3,6
Virginia,VA,South,South Atlantic,3,6
West Virginia,WV,South,South Atlantic,3,6
Iowa,IA,Midwest,West North Central,1,7
Kansas,KS,Midwest,West North Central,1,7
Minnesota,MN,Midwest,West North Central,1,7
Missouri,MO,Midwest,West North Central,1,7
North Dakota,ND,Midwest,West North Central,1,7
Nebraska,NE,Midwest,West North Central,1,7
South Dakota,SD,Midwest,West North Central,1,7
Arkansas,AR,South,West South Central,3,7
Louisiana,LA,South,West South Central,3,7
Oklahoma,OK,South,West South Central,3,7
Texas,TX,South,West South Central,3,7
